formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
Li2Mg,Li-Mg,15,C2/c,-10.851977,21.225,12.094,30.422,0.261,1.55,6,-0.037760833,20.36666667,5.266104,5.266104,5.913408,62.768798,62.768798,60.454203,121.0162702,1.047974875,20.16937837
Li2Mg,Li-Mg,12,C2/m,-10.868607,20.325,7.276,17.869,0.362,194.184,6,-0.0405325,20.325,3.309739,5.743755,7.017319,72.473828,90,106.745225,121.2636106,1.045837329,20.21060177
Li3Mg,Li-Mg,25,Pmm2,-7.379442,20.332,14.195,34.476,0.218,1.619,4,-0.03090975,20.2975,3.051255,5.055267,5.276943,90,90,90,81.39637365,0.920640609,20.34909341
Li3Mg,Li-Mg,44,Imm2,-7.365647,20.314,8.867,22.804,0.313,3.836,4,-0.027461,20.075,5.851369,5.851369,5.851369,149.317357,126.486191,62.958488,81.40373014,0.92055741,20.35093254
Li3Mg,Li-Mg,221,Pm-3m,-7.351421,20.059,6.449,17.373,0.356,4.188,4,-0.0239045,20.08,4.30344,4.30344,4.303445,90,90,90,79.6980782,0.940258645,19.92451955
Li3Mg,Li-Mg,225,Fm-3m,-7.360223,19.994,16.052,37.886,0.184,1.428,4,-0.026105,20.13,4.849165,4.849165,4.849165,60,60,60,80.62802026,0.929413953,20.15700506
Li3Mg,Li-Mg,194,P6_3/mmc,-14.727669,19.878,12.864,31.688,0.234,1.736,8,-0.027007875,20.15625,6.090956,6.090956,5.011544,90,90,120.000001,161.0175065,0.930790802,20.12718831
Li3Mg5,Li-Mg,139,I4/mmm,-13.611266,28.881,24.821,57.469,0.168,1.459,8,-0.081176875,20.92375,6.122918,6.122918,6.122918,117.032289,117.032289,95.221996,168.837695,1.400009725,21.10471188
Li4Mg,Li-Mg,166,R-3m,-9.242296,19.005,15.353,36.078,0.184,1.522,5,-0.0086792,20.704,12.883575,12.883575,12.883575,13.674083,13.674083,13.674082,103.9887001,0.831461578,20.79774003
Li5Mg,Li-Mg,155,R32,-11.181174,18.374,9.021,23.198,0.29,2.384,6,-0.0065295,20.15833333,5.284205,5.28298,5.85512,117.076013,63.176321,120.007662,120.61517,0.812405357,20.10252834
Li5Mg,Li-Mg,189,P-62m,-11.200266,18.322,5.594,15.029,0.363,5.441,6,-0.0097115,20.10666667,5.053199,5.274124,5.274126,60.000008,90,90,121.7300685,0.804964719,20.28834475
Li5Mg,Li-Mg,38,Amm2,-11.190816,18.228,15.917,35.465,0.175,0.77,6,-0.0081365,20.28166667,8.087576,8.087576,5.045104,90,90,158.209548,122.4983328,0.799916277,20.4163888
Li5Mg,Li-Mg,187,P-6m2,-11.099265,18.104,8.805,22.727,0.291,2.123,6,0.007122,20.64833333,3.062186,3.062186,15.32283,90,90,120.000024,124.4321726,0.787484525,20.73869543
Li5Mg,Li-Mg,8,Cm,-11.184188,18.068,9.112,23.096,0.288,2.954,6,-0.007031833,20.055,5.958923,5.958923,7.269206,74.561687,74.561687,29.584695,122.5112817,0.79983173,20.41854695
LiMg,Li-Mg,123,P4/mmm,-3.56522,26.911,21.517,50.965,0.184,1.271,2,-0.0978055,20.045,3.378185,3.378185,3.55261,90,90,90,40.54286099,1.279761773,20.2714305
LiMg,Li-Mg,221,Pm-3m,-3.565232,26.911,21.517,50.964,0.184,1.271,2,-0.0978115,20.045,3.415326,3.415326,3.415326,90,90,90,39.83790512,1.302407933,19.91895256
LiMg,Li-Mg,38,Amm2,-10.616376,26.29,22.707,52.793,0.165,1.292,6,-0.0845915,20.31,7.590358,7.590358,4.922268,90,90,154.877119,120.4009536,1.29281045,20.0668256
LiMg,Li-Mg,65,Cmmm,-10.616376,26.29,22.706,52.792,0.165,1.292,6,-0.0845915,20.31,7.540307,7.540307,4.899577,90,90,153.934069,122.4057299,1.271636639,20.40095499
LiMg,Li-Mg,74,Imma,-7.07277,26.281,21.158,49.846,0.184,1.469,4,-0.083388,20.325,5.695203,5.695203,4.899455,64.6918,64.6918,34.475402,80.4407333,1.29002314,20.11018333
LiMg,Li-Mg,12,C2/m,-7.077637,26.224,17.575,42.115,0.232,2.447,4,-0.08460475,20.3425,5.902616,5.902616,5.355207,63.83839,63.83839,30.329352,83.81228831,1.238128793,20.95307208
LiMg,Li-Mg,166,R-3m,-3.497067,25.966,12.283,30.595,0.304,4.98,2,-0.063729,21.09,5.385433,5.385433,5.385433,33.359797,33.359797,33.359801,42.05555146,1.233730194,21.02777573
LiMg,Li-Mg,8,Cm,-10.580694,25.913,15.617,38.923,0.25,1.906,6,-0.0786445,20.48666667,5.720285,5.720285,6.746465,72.607846,72.607846,35.387538,121.385076,1.282329065,20.23084601
LiMg,Li-Mg,38,Amm2,-10.495712,25.67,16.543,39.903,0.241,2.588,6,-0.064480833,20.90333333,8.107714,8.107714,5.036497,90,90,157.240731,128.0794228,1.215305376,21.34657046
LiMg,Li-Mg,38,Amm2,-10.4957,25.663,16.53,39.87,0.241,2.594,6,-0.064478833,20.90333333,8.121811,8.121811,5.051346,90,90,157.67235,126.5858312,1.229644815,21.09763854
