formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
MgIn2,In-Mg,12,C2/m,-13.559476,38.321,22.839,57.153,0.251,1.729,6,-0.085941333,25.18833333,6.09242,6.09242,8.109957,69.586332,69.586332,32.757186,151.7321482,5.558201818,25.28869137
MgIn2,In-Mg,155,R32,-13.529459,37.896,12.111,32.024,0.359,6.689,6,-0.0809385,25.26,6.041165,6.041165,6.041166,57.321732,57.321732,57.321743,146.2883484,5.765038099,24.38139141
MgIn2,In-Mg,8,Cm,-13.478328,37.804,14.268,38.015,0.332,2.746,6,-0.072416667,25.34833333,6.046777,6.046777,8.145484,73.218774,73.218774,31.032628,146.4832103,5.757369056,24.41386838
MgIn2,In-Mg,63,Cmcm,-13.507864,37.443,15.555,40.972,0.318,2.271,6,-0.077339333,25.28333333,5.541827,5.541827,5.50118,90,90,120.16067,146.0787391,5.773310389,24.34645652
MgIn2,In-Mg,12,C2/m,-13.538352,37.425,15.631,41.14,0.317,2.576,6,-0.082420667,25.11833333,6.679696,6.679696,7.161654,73.07845,73.07845,28.479733,145.340269,5.802644428,24.22337817
MgIn2,In-Mg,63,Cmcm,-13.511311,36.587,22.683,56.396,0.243,1.617,6,-0.077913833,25.25666667,8.296133,8.296133,5.279407,90,90,156.506522,144.8513421,5.822230504,24.14189034
MgIn2,In-Mg,38,Amm2,-13.457783,35.998,6.069,16.793,0.423,21.128,6,-0.0689925,25.42166667,8.210922,8.210922,5.167675,90,90,155.185408,146.2179692,5.76781299,24.36966154
MgIn2,In-Mg,12,C2/m,-13.46532,35.794,14.83,38.965,0.319,2.925,6,-0.070248667,25.43333333,6.574929,6.574929,7.661469,74.913038,74.913038,28.649912,152.9602519,5.513575532,25.49337532
MgIn3,In-Mg,44,Imm2,-9.310335,36.661,14.47,38.284,0.326,2.95,4,-0.06018,25.7475,6.327724,6.327724,6.327724,149.02388,126.646835,62.982488,103.6055664,5.910287903,25.90139159
MgIn3,In-Mg,139,I4/mmm,-9.353175,36.053,9.452,26.066,0.38,4.12,4,-0.07089,25.4225,5.691267,5.691267,5.691267,132.778561,132.778561,69.00212,97.48201393,6.281555961,24.37050348
MgIr,Ir-Mg,51,Pmma,-21.73908,140.22,60.973,159.062,0.311,2.872,4,-0.319087,15.2,4.414035,3.120437,4.414186,90,90,90,60.79975375,11.82712816,15.19993844
MgIr2,Ir-Mg,194,P6_3/mmc,-80.298972,199.968,60.818,165.544,0.362,3.617,12,-0.346174333,16.51083333,5.174492,5.17449,8.400336,90,90,119.999999,194.7881836,13.93774643,16.23234864
MgNb2,Mg-Nb,166,R-3m,-21.048082,110.591,6.372,18.573,0.472,64.072,3,0.246197333,19.04,7.971409,7.971409,7.971409,21.093264,21.093264,21.093256,57.45717735,6.07250069,19.15239245
MgNi,Mg-Ni,166,R-3m,-21.804626,95.273,41.739,109.248,0.309,2.363,6,-0.183290833,14.47666667,4.925729,4.925733,4.925638,60.487289,60.487335,60.485899,85.4361226,4.839478249,14.23935377
MgNi,Mg-Ni,221,Pm-3m,-14.583556,94.42,30.925,79.368,0.36,12.555,4,-0.1950755,13.97,3.004961,4.258949,4.252495,90,90,90,54.42333835,5.064815568,13.60583459
MgNi,Mg-Ni,51,Pmma,-14.587056,89.571,34.116,87.831,0.337,6.14,4,-0.1959505,14.17,3.100726,4.257785,4.27278,90,90,90,56.41020145,4.886424162,14.10255036
MgNi2,Mg-Ni,227,Fd-3m,-26.172378,125.134,59.429,153.911,0.295,2.154,6,-0.236482333,13.24333333,4.761987,4.76198,4.762212,119.997746,60.002329,119.992217,76.36777714,6.161886024,12.72796286
MgNi2,Mg-Ni,194,P6_3/mmc,-105.024227,123.701,61.232,157.674,0.288,2.055,24,-0.250428792,13.21083333,4.753943,4.753944,15.640101,90,90,120.000027,306.1103971,6.149017389,12.75459988
MgNi3,Mg-Ni,221,Pm-3m,-18.154169,134.34,56.814,148.826,0.315,2.903,4,-0.075578,12.155,3.642682,3.642682,3.642682,90,90,90,48.33522885,6.884160081,12.08380721
MgNi3,Mg-Ni,139,I4/mmm,-18.103018,134.286,51.619,136.822,0.33,3.172,4,-0.06279025,12.2075,4.44933,4.44933,4.44933,131.359757,131.359757,71.24212,48.57569348,6.850081371,12.14392337
MgNi3,Mg-Ni,194,P6_3/mmc,-36.273466,127.861,38.356,104.573,0.364,3.563,8,-0.071219,12.2775,5.203804,5.203804,4.161534,90,90,120.000006,97.59464577,6.818969429,12.19933072
MgNi5,Mg-Ni,155,R32,-28.895416,150.668,54.574,146.072,0.338,2.847,6,-0.015554833,11.69333333,4.853128,4.853128,4.853128,54.078911,54.078911,54.0789,69.65072807,7.575984271,11.60845468
MgO,Mg-O,187,P-6m2,-11.223326,152.845,52.312,128.43,0.361,143.16,2,-4.779537213,9.71,2.938021,2.938021,2.67968,90,90,120.00002,20.03195059,3.341014169,10.01597529
MgO,Mg-O,225,Fm-3m,-11.911106,152.305,118.653,282.554,0.191,1.313,2,-5.123427213,9.575,2.965608,2.965608,2.965607,59.999992,59.999992,59.999988,18.44277009,3.628903382,9.221385046
MgO,Mg-O,166,R-3m,-94.330979,149.836,81.759,206.757,0.27,2.206,16,-5.0635604,9.65625,20.056886,20.056886,20.056887,8.563417,8.563417,8.563419,155.217838,3.449450481,9.701114877
MgO,Mg-O,1,P1,-467.521923,132.389,93.002,226.044,0.215,1.462,80,-5.01189825,10.24525,9.741477,10.461112,8.980876,87.325522,92.039415,86.397942,911.7270596,2.936274845,11.39658824
MgO,Mg-O,194,P6_3/mmc,-23.674462,126.57,63.183,162.008,0.287,2.381,4,-5.086489713,11.3275,3.486378,3.486378,4.178041,90,90,120.000007,43.97970154,3.043541834,10.99492539
MgO,Mg-O,186,P6_3mc,-23.534401,114.19,47.449,125.029,0.318,2.429,4,-5.051474463,12.1375,3.307787,3.307787,4.982882,90,90,120.000006,47.21567997,2.834949356,11.80391999
MgO,Mg-O,72,Ibam,-94.082729,113.279,61.58,156.083,0.271,2.116,16,-5.048044775,11.80875,8.092454,8.092454,8.092454,150.250461,135.494442,54.451966,183.2443106,2.921871049,11.45276941
MgO,Mg-O,192,P6/mcc,-140.224047,96.633,60.377,149.837,0.242,1.701,24,-5.010542838,14.0875,9.66812,9.66812,4.188409,90,90,119.999997,339.0500033,2.368749038,14.12708347
MgO,Mg-O,223,Pm-3n,-69.84401,94.549,29.181,79.341,0.36,3.5,12,-4.988208379,14.845,5.640578,5.640578,5.640578,90,90,90,179.4613075,2.237597564,14.95510896
MgO,Mg-O,1,P1,-453.712043,88.025,31.022,82.275,0.346,4.507,80,-4.83927475,11.540125,9.794905,9.759432,10.068635,91.477335,88.385531,88.977874,961.6202339,2.783927725,12.02025292
MgO,Mg-O,15,C2/c,-138.963937,85.829,35.521,93.644,0.318,2.434,24,-4.958038254,15.50916667,8.734499,8.734499,5.679621,89.770917,89.770917,59.928152,374.9786524,2.141786909,15.62411052
MgO,Mg-O,1,P1,-453.452887,84.833,43.04,110.438,0.283,2.008,80,-4.8360353,11.864375,10.343687,9.583526,9.593282,91.113363,91.694105,87.319373,949.3614848,2.819875541,11.86701856
MgO,Mg-O,1,P1,-453.363931,70.943,37.954,96.622,0.273,1.922,80,-4.83492335,11.898125,10.362423,9.006326,10.174513,96.136077,88.327273,90.701774,943.6781145,2.836858447,11.79597643
MgO,Mg-O,8,Cm,-139.280172,69.584,34.749,89.31,0.284,1.841,24,-4.971214713,13.88166667,12.892431,12.892431,7.577071,85.649988,85.649988,15.485421,335.2702639,2.395453625,13.96959433
MgO2,Mg-O,12,C2/m,-14.978613,140.011,31.385,85.817,0.397,2.843,3,-4.35887395,9.643333333,3.427407,3.427407,3.93541,85.597154,85.597154,53.647925,37.09492124,2.520416714,12.36497375
MgO2,Mg-O,166,R-3m,-16.340868,126.875,63.216,162.585,0.287,2.117,3,-4.81295895,10.29666667,3.954942,3.954942,3.954942,47.877644,47.877644,47.87764,31.16962892,2.999543553,10.38987631
MgO2,Mg-O,12,C2/m,-16.340927,126.277,63.056,162.125,0.286,2.11,3,-4.812978617,10.30666667,3.248451,3.248451,3.585705,85.775844,85.775844,63.568737,33.75523509,2.769782502,11.25174503
MgO2,Mg-O,2,P-1,-64.339888,88.172,39.282,102.58,0.306,2.36,12,-4.727660283,11.3875,3.244165,7.189301,6.906082,84.30557,75.145113,62.086447,137.5347256,2.719157917,11.46122713
MgP4,Mg-P,14,P2_1/c,-49.366256,57.934,37.163,91.845,0.236,1.588,10,-0.328559257,19.934,5.103066,5.16977,7.5461,98.733069,90,90,196.7707541,2.501306361,19.67707541
MgPb,Mg-Pb,51,Pmma,-10.40906,40.063,10.087,27.379,0.386,8.313,4,-0.18536,26.4125,3.541452,5.446535,5.33006,90,90,90,102.8096324,7.478347849,25.7024081
MgPb,Mg-Pb,12,C2/m,-10.360313,38.131,13.546,36.264,0.342,3.292,4,-0.17317325,26.5225,3.531841,5.994448,5.296736,74.714211,90,72.866896,103.0044378,7.464204553,25.75110944
MgPb3,Mg-Pb,187,P-6m2,-12.265193,38.751,13.27,35.691,0.346,3.287,4,-0.15419675,29.6925,3.578781,3.578781,10.41311,90,90,120.000004,115.4998341,9.286164731,28.87495853
MgPd2,Mg-Pd,62,Pnma,-54.950561,115.687,42.543,113.552,0.336,3.065,12,-0.60358875,15.74666667,4.135862,5.486329,8.097776,90,90,90,183.74421,8.572537595,15.3120175
MgPd3,Mg-Pd,139,I4/mmm,-38.176562,129.297,37.771,102.823,0.367,4.435,8,-0.4778065,15.6175,3.930605,3.930606,8.371086,103.578212,103.578229,89.999995,121.9938747,9.3529795,15.24923433
MgPd3,Mg-Pd,139,I4/mmm,-19.056778,128.801,46.519,124.424,0.339,3.102,4,-0.46993075,15.67,4.782017,4.782017,4.782017,130.86707,130.86707,72.024362,61.15689815,9.328516026,15.28922454
MgPd3,Mg-Pd,221,Pm-3m,-19.028766,127.917,37.033,101.142,0.368,4.057,4,-0.46292775,15.615,3.936033,3.936033,3.936033,90,90,90,60.97842126,9.355819528,15.24460532
MgPd3,Mg-Pd,194,P6_3/mmc,-38.002893,126.844,17.111,48.817,0.436,12.136,8,-0.456097875,15.66625,5.591599,5.591599,4.517972,90,90,120.000005,122.3337452,9.326994831,15.29171815
MgPd3,Mg-Pd,166,R-3m,-18.341304,125.327,46.236,123.316,0.336,3.117,4,-0.29106225,15.705,8.95282,8.95282,8.95282,18.462662,18.462662,18.462663,62.86523048,9.075018099,15.71630762
MgPd5,Mg-Pd,155,R32,-29.550576,140.941,43.68,118.755,0.36,3.363,6,-0.312193167,15.53,4.80606,4.806062,5.331172,116.834516,63.165484,119.997488,91.01136802,10.15183333,15.16856134
MgPd5,Mg-Pd,189,P-62m,-29.556687,140.558,48.38,130.2,0.346,2.931,6,-0.313211667,15.535,4.510702,4.82767,4.827387,59.9797,90,90,91.01972943,10.15090075,15.16995491
MgPt2,Mg-Pt,189,P-62m,-30.93477,164.607,60.422,161.494,0.336,2.802,6,-0.781136333,15.79666667,4.858821,4.858821,4.52867,90,90,120.000016,92.58979806,14.86661863,15.43163301
MgPt2,Mg-Pt,12,C2/m,-30.854422,158.401,50.079,135.846,0.357,3.426,6,-0.767745,15.84666667,2.855153,5.315726,6.836025,74.146085,89.976152,105.536268,95.85486082,14.36022342,15.97581014
MgPt3,Mg-Pt,221,Pm-3m,-22.128664,187.952,77.277,203.786,0.319,2.613,4,-0.788989,15.5225,3.930362,3.931052,3.931052,90,90,90,60.73654899,16.66530662,15.18413725
MgPt5,Mg-Pt,189,P-62m,-33.907478,195.518,58.522,159.639,0.364,3.368,6,-0.539551,15.735,4.891966,4.891966,4.562535,90,90,120.000002,94.55918448,17.55601455,15.75986408
MgPt7,Mg-Pt,225,Fm-3m,-46.63386,220.084,70.79,191.796,0.355,3.187,8,-0.533278,15.57375,5.567085,5.567086,5.567086,60,60,60,122.0024975,18.91741294,15.25031219
MgRh,Mg-Rh,221,Pm-3m,-9.63497,116.386,36.857,99.85,0.357,3.662,2,-0.5044015,15.225,3.086851,3.086851,3.086851,90,90,90,29.41351942,7.181663708,14.70675971
MgRh3,Mg-Rh,44,Imm2,-24.330619,183.366,88.041,227.668,0.293,2.133,4,-0.3262855,14.49,2.757072,5.141044,4.713804,62.713002,90,74.446183,56.61224021,9.76812097,14.15306005
MgRh5,Mg-Rh,8,Cm,-38.527664,198.643,85.559,224.425,0.312,2.4,6,-0.183812833,14.41666667,2.732843,5.085532,6.527813,76.024692,90,105.586202,84.59588645,10.57678398,14.09931441
MgS,Mg-S,225,Fm-3m,-8.502193,74.964,51.912,126.53,0.219,1.446,2,-1.481701828,17.81,3.683175,3.683175,3.683174,59.999997,59.999996,59.999998,35.33066671,2.64938638,17.66533335
MgS,Mg-S,216,F-43m,-8.472001,55.954,18.408,49.717,0.352,3.403,2,-1.466605828,23.055,4.006637,4.006637,4.006636,60.000001,60.000006,60.000018,45.48046821,2.058127167,22.74023411
MgS,Mg-S,186,P6_3mc,-16.979762,55.89,19.953,53.493,0.34,2.811,4,-1.475545828,23.04,4.034622,4.034622,6.432294,90,90,120,90.67808118,2.064547153,22.6695203
MgS2,Mg-S,36,Cmc2_1,-24.516337,58.529,24.439,64.325,0.317,2.581,6,-0.869033937,20.86833333,3.939021,3.939021,9.147763,90,90,119.964195,122.9641808,2.388496738,20.49403013
MgS2,Mg-S,166,R-3m,-24.53161,58.297,16.331,44.374,0.375,5.622,6,-0.871579437,20.88,3.910541,5.101926,10.192121,45.733003,89.9661,112.529038,122.964641,2.388487799,20.49410684
MgS3,Mg-S,25,Pmm2,-15.385212,57.928,24.424,63.463,0.324,3.807,4,-0.405466992,19.1525,3.664435,4.230634,4.830446,90,90,90,74.88583514,2.67200008,18.72145879
MgSb,Mg-Sb,51,Pmma,-11.893294,51.33,14.845,39.516,0.372,8.29,4,-0.15717475,24.4275,3.13097,5.61992,5.625007,90,90,90,98.97650336,4.901095321,24.74412584
MgSb,Mg-Sb,221,Pm-3m,-5.873191,50.715,11.875,32.937,0.392,5.479,2,-0.12044675,24.365,3.655308,3.655308,3.655308,90,90,90,48.83958115,4.966189984,24.41979058
MgSb,Mg-Sb,123,P4/mmm,-5.884181,48.919,3.421,10.017,0.466,18.545,2,-0.12594175,24.47,3.431622,3.431622,4.172849,90,90,90,49.13959314,4.935869902,24.56979657
MgSb,Mg-Sb,12,C2/m,-11.976984,47.962,3.69,6.191,0.478,2.514,4,-0.17809725,24.83,5.963885,5.963885,5.446576,83.948849,83.948849,31.140619,99.58048857,4.871368724,24.89512214
MgSb,Mg-Sb,8,Cm,-17.98944,47.486,15.833,42.702,0.35,2.704,6,-0.18209125,25.18666667,5.958955,5.958955,8.30882,75.993009,75.993009,31.878797,150.8000263,4.825197543,25.13333771
MgSb,Mg-Sb,38,Amm2,-17.562665,45.858,10.945,29.124,0.396,21.616,6,-0.110962083,24.81333333,9.092712,9.092712,5.168795,90,90,159.576816,149.1217333,4.879502807,24.85362222
MgSb,Mg-Sb,225,Fm-3m,-5.931805,45.34,78.944,69.425,0.245,0.247,2,-0.14975375,26.285,4.208524,4.208524,4.208524,60,60,60,52.70775133,4.601726172,26.35387567
MgSb,Mg-Sb,8,Cm,-17.416581,42.275,17.462,45.899,0.319,2.937,6,-0.08661475,25.435,6.252655,6.252655,7.63364,81.087794,81.087794,30.78796,150.7764345,4.825952535,25.12940575
MgSb,Mg-Sb,5,C2,-18.208078,36.797,9.9,27.233,0.377,4.153,6,-0.218530917,27.33166667,5.496182,5.496182,5.754353,88.168994,88.168994,62.665345,154.3098636,4.715446566,25.7183106
MgSb,Mg-Sb,38,Amm2,-18.207886,36.793,9.899,27.231,0.377,4.152,6,-0.218498917,27.33166667,5.528501,5.528501,5.723453,90,90,117.470264,155.2097986,4.688105537,25.86829977
MgSb,Mg-Sb,8,Cm,-17.513977,34.758,8.544,22.955,0.391,12.363,6,-0.102847417,26.06833333,6.357077,6.357077,7.830829,73.598691,73.598691,30.704981,154.508912,4.709371822,25.75148533
MgSb,Mg-Sb,59,Pmmn,-12.080155,32.513,10.89,28.905,0.377,8.216,4,-0.20389,25.0525,3.982755,4.514778,5.631678,90,90,90,101.2646362,4.790352245,25.31615906
MgSb2,Mg-Sb,63,Cmcm,-19.611441,52.792,18.575,49.513,0.344,3.95,6,0.0107875,25.40833333,5.54234,5.54234,5.606951,90,90,115.900618,154.9315587,5.741036614,25.82192645
MgSb2,Mg-Sb,8,Cm,-20.132231,47.356,21.758,56.597,0.301,2.254,6,-0.076010833,26.625,6.015509,6.015509,7.023035,74.020264,74.020264,42.320614,163.480335,5.440824128,27.2467225
MgSb2,Mg-Sb,38,Amm2,-19.763032,43.774,16.002,41.693,0.336,1.759,6,-0.014477667,26.94833333,8.757599,8.757599,5.431829,90,90,158.255524,154.3358289,5.763196772,25.72263815
MgSb2,Mg-Sb,12,C2/m,-19.980061,31.862,296.987,138.756,-0.251,0.053,6,-0.050649167,27.345,6.495061,6.495061,8.230151,79.492797,79.492797,28.721739,163.8642638,5.428076448,27.31071064
MgSb3,Mg-Sb,44,Imm2,-13.974936,40.807,5.012,14.357,0.442,13.82,4,0.017233125,26.9025,6.241871,6.241871,6.241871,146.720852,127.619507,63.485647,104.5491481,6.187722463,26.13728703
MgSc,Mg-Sc,221,Pm-3m,-7.844906,50.442,34.56,83.814,0.223,1.859,2,-0.0705265,23.29,3.596451,3.596451,3.596451,90,90,90,46.51816018,2.472377448,23.25908009
MgSc,Mg-Sc,51,Pmma,-15.68232,49.828,31.9,78.227,0.238,2.046,4,-0.0686535,23.2825,3.362799,5.19868,5.348914,90,90,90,93.51033452,2.459844695,23.37758363
MgSc2,Mg-Sc,63,Cmcm,-28.220919,49.185,23.573,60.694,0.294,2.602,6,-0.0430885,23.825,3.332992,8.40939,5.233026,90.000007,90.00001,78.56421,143.7616816,2.638554254,23.96028027
MgSe,Mg-Se,225,Fm-3m,-7.489989,61.216,40.078,98.697,0.231,1.527,2,-1.279775578,20.85,3.866069,3.866068,3.866069,59.999995,60.000001,60.000004,40.85956736,4.196705394,20.42978368
MgSe,Mg-Se,186,P6_3mc,-15.057442,46.707,15.272,41.313,0.353,3.085,4,-1.299141578,26.685,4.2216,4.221334,6.816718,89.999993,90,120.004303,105.1995686,3.260005132,26.29989214
MgSe,Mg-Se,216,F-43m,-7.517679,45.406,15.023,40.564,0.351,3.311,2,-1.293620578,26.905,4.198698,4.198697,4.198698,59.999993,60,60.000011,52.33941428,3.2762225,26.16970714
MgSn,Mg-Sn,123,P4/mmm,-5.608721,46.935,23.39,59.38,0.289,1.51,2,-0.29241075,24.04,3.331962,3.331962,4.228622,90,90,90,46.94603534,5.05861662,23.47301767
MgSn,Mg-Sn,59,Pmmn,-11.013857,44.487,22.837,58.368,0.281,1.714,4,-0.2415145,24.7275,3.501788,4.892427,5.644414,90,90,90,96.70146176,4.911652632,24.17536544
MgSn,Mg-Sn,12,C2/m,-11.155787,44.252,8.98,24.476,0.408,17.106,4,-0.276997,24.255,5.929512,5.929512,5.030756,73.612542,73.612542,34.608836,95.97439192,4.948861667,23.99359798
MgSn,Mg-Sn,5,C2,-16.52676,43.617,17.327,45.655,0.326,3.267,6,-0.24251025,24.475,5.582497,5.582497,5.856934,71.522298,71.522298,60.884978,148.2978123,4.804157073,24.71630205
MgSn,Mg-Sn,156,P3m1,-16.191519,42.976,6.051,16.717,0.435,84.589,6,-0.18663675,25.17,3.335494,3.335494,15.481375,90,90,120.000008,149.162811,4.77629765,24.8604685
MgSn,Mg-Sn,38,Amm2,-16.443362,42.872,28.78,67.987,0.235,0.998,6,-0.228610583,24.73,5.63721,5.63721,5.388013,90,90,119.777051,148.6137518,4.793943865,24.76895864
MgSn,Mg-Sn,8,Cm,-16.586776,42.758,19.049,49.651,0.307,2.606,6,-0.252512917,24.505,5.868227,5.868227,7.978119,70.453989,70.453989,33.942921,143.7118182,4.957462738,23.9519697
MgSn,Mg-Sn,187,P-6m2,-5.515624,42.66,5.948,16.666,0.436,27.479,2,-0.24586225,24.82,3.47299,3.47299,4.628427,90,90,120.003787,48.34533302,4.912201029,24.17266651
MgSn,Mg-Sn,8,Cm,-16.521672,41.89,11.701,31.124,0.38,10.45,6,-0.24166225,24.50333333,6.83707,6.83707,7.081075,74.701803,74.701803,27.820357,148.6657329,4.792267658,24.77762216
MgSn,Mg-Sn,38,Amm2,-16.375461,41.734,7.349,20.415,0.418,3.514,6,-0.21729375,24.865,7.915764,7.915764,5.210741,90,90,152.8963,148.7548413,4.789396953,24.79247355
MgSn2,Mg-Sn,15,C2/c,-18.724,45.333,11.557,31.478,0.384,7.19,6,-0.246904333,25.53833333,5.658204,5.658204,6.736032,59.921542,59.921542,62.195411,154.6690031,5.619802011,25.77816718
MgSn2,Mg-Sn,155,R32,-18.545,45.148,9.789,26.882,0.401,10.083,6,-0.217071,25.85333333,6.146227,6.146227,6.146227,57.392565,57.392565,57.392567,154.3253929,5.632314669,25.72089882
MgSn2,Mg-Sn,194,P6_3/mmc,-18.450676,44.626,14.097,38.255,0.357,3.312,6,-0.201350333,25.96,3.341996,3.341996,15.624501,90,90,120.000009,151.1292839,5.751427865,25.18821398
MgSn2,Mg-Sn,12,C2/m,-18.638126,43.159,9.033,25.032,0.402,3.277,6,-0.232592,25.46166667,6.737847,6.737847,7.301958,73.441923,73.441923,29.091777,154.0336282,5.642983189,25.67227136
MgSn2,Mg-Sn,12,C2/m,-18.659688,42.847,19.541,50.795,0.303,2.509,6,-0.236185667,25.57166667,5.943391,5.943391,8.029331,68.459829,68.459829,36.307249,154.8972896,5.611519587,25.81621493
MgSn3,Mg-Sn,139,I4/mmm,-13.120994,45.147,15.554,41.844,0.346,3.08,4,-0.225579875,26.2225,5.90995,5.90995,5.90995,134.851643,134.851643,65.7608,102.1831849,6.182300744,25.54579622
MgTe,Mg-Te,225,Fm-3m,-6.265831,46.616,30.583,75.284,0.231,1.524,2,-0.870258834,26.66,4.203602,4.203602,4.203602,60,60,60,52.52301624,4.802545721,26.26150812
MgTe,Mg-Te,194,P6_3/mmc,-12.618672,46.614,20.871,54.478,0.305,2.29,4,-0.892011334,26.6525,4.214525,4.214064,6.862112,90,90,120.003624,105.5412571,4.780011039,26.38531426
MgTe,Mg-Te,216,F-43m,-6.40255,34.198,11.491,30.988,0.349,3.197,2,-0.938618334,34.455,4.570737,4.570736,4.570737,60.000001,60.000005,59.999999,67.52173262,3.735748138,33.76086631
MgTe,Mg-Te,186,P6_3mc,-12.809343,34.161,11.533,31.1,0.348,2.996,4,-0.939679084,34.47,4.590203,4.590203,7.437806,90,90,120.000007,135.7185245,3.717166657,33.92963112
MgTl,Mg-Tl,221,Pm-3m,-3.794325,37.843,22.203,55.58,0.255,1.963,2,-0.0716935,24.605,3.637803,3.637803,3.637803,90,90,90,48.1412535,7.888158879,24.07062675
MgZn,Mg-Zn,51,Pmma,-5.582425,51.05,26.856,67.443,0.28,1.4,4,-0.12522075,17.9675,3.127487,4.839659,4.57911,90,90,90,69.30927352,4.298807194,17.32731838
MgZn,Mg-Zn,194,P6_3/mmc,-16.635166,50.869,16.489,44.509,0.354,3.789,12,-0.115878333,18.24833333,5.243759,5.243766,8.849778,90,90,120.000032,210.7409258,4.241423956,17.56174381
MgZn,Mg-Zn,5,C2,-8.323123,49.531,14.288,38.187,0.374,7.93,6,-0.116801667,18.34333333,5.315171,5.315171,5.697845,61.452604,61.452604,54.757056,110.8048225,4.033405725,18.46747042
MgZn,Mg-Zn,123,P4/mmm,-2.79115,49.502,34.281,83.524,0.219,1.52,2,-0.1251895,17.975,3.197632,3.197632,3.387289,90,90,90,34.63452468,4.301303489,17.31726234
MgZn,Mg-Zn,8,Cm,-8.159436,47.826,32.182,78.849,0.225,1.527,6,-0.0895205,18.44,5.779376,5.779376,6.740345,76.342403,76.342403,30.058351,109.3442502,4.08728218,18.2240417
MgZn,Mg-Zn,38,Amm2,-8.143372,47.176,18.215,48.35,0.329,2.925,6,-0.086843167,18.14666667,5.111896,5.111896,4.822372,90,90,119.801882,109.3500232,4.087066398,18.22500387
MgZn,Mg-Zn,38,Amm2,-7.931879,47.11,20.922,54.522,0.307,2.67,6,-0.051594333,18.52666667,7.78261,7.78261,4.776632,90,90,157.430365,111.0411721,4.024820676,18.50686202
MgZn,Mg-Zn,59,Pmmn,-5.329915,47.064,17.171,45.24,0.34,4.533,4,-0.06209325,18.5525,3.028202,4.934615,4.982497,90,90,90,74.45350754,4.00178868,18.61337688
MgZn,Mg-Zn,38,Amm2,-7.932936,46.357,11.372,31.508,0.387,3.658,6,-0.0517705,18.47666667,7.739604,7.739604,4.800304,90,90,157.272743,111.0916318,4.022992536,18.51527196
MgZn,Mg-Zn,38,Amm2,-16.484137,45.725,15.682,42.162,0.347,3.342,12,-0.103292583,18.21,4.58715,3.109824,14.643263,90,90,90,208.8894955,4.279016562,17.40745796
MgZn,Mg-Zn,38,Amm2,-8.136517,44.099,31.096,72.542,0.217,0.916,6,-0.085700667,18.61333333,5.244443,5.244443,4.378254,90,90,109.415286,113.5724635,3.935115887,18.92874392
MgZn2,Mg-Zn,194,P6_3/mmc,-16.529698,64.313,42.707,104.899,0.228,1.522,12,-0.1591315,16.71583333,5.156811,5.156812,8.372856,90,90,120.000011,192.8265149,5.343410406,16.06887625
MgZn2,Mg-Zn,15,C2/c,-8.019978,56.74,29.178,74.661,0.281,2.127,6,-0.118319667,17.215,5.021466,5.021466,5.805431,60.671132,60.671132,57.234025,102.1489817,5.043374832,17.02483028
MgZn2,Mg-Zn,63,Cmcm,-7.727744,54.997,27.301,68.85,0.291,1.428,6,-0.069614,17,7.351293,7.351293,4.479431,90,90,156.295937,97.31730088,5.293772008,16.21955015
MgZn2,Mg-Zn,63,Cmcm,-7.758932,54.664,16.372,44.427,0.365,4.458,6,-0.074812,16.94666667,7.472076,7.472076,4.669748,90,90,156.990835,101.9102032,5.055191601,16.98503387
MgZn2,Mg-Zn,63,Cmcm,-7.791954,53.483,11.212,30.918,0.406,10.438,6,-0.080315667,16.95166667,5.156834,5.156834,4.671581,90,90,124.088011,102.8853719,5.007277455,17.14756198
MgZn2,Mg-Zn,189,P-62m,-7.623238,53.339,9.985,28.097,0.412,7.17,6,-0.052196333,17.03833333,4.972787,4.972787,4.772897,90,90,119.999992,102.2145002,5.040142077,17.03575003
MgZn2,Mg-Zn,12,C2/m,-7.738929,53.295,26.4,67.748,0.288,2.424,6,-0.071478167,17,5.519711,5.519711,6.638135,75.777416,75.777416,30.946883,100.5670387,5.122708294,16.76117312
MgZn2,Mg-Zn,38,Amm2,-7.580982,50.852,22.975,59.845,0.304,2.439,6,-0.045153667,17.30333333,7.748515,7.748515,4.616463,90,90,157.895244,104.2994119,4.939391257,17.38323532
MgZn2,Mg-Zn,8,Cm,-7.593979,48.395,17.62,47.137,0.338,2.796,6,-0.047319833,17.64333333,5.392964,5.392964,6.749512,78.804905,78.804905,32.760834,104.0284673,4.95225602,17.33807788
MgZn2,Mg-Zn,63,Cmcm,-7.448412,48.321,23.472,60.451,0.293,2.426,6,-0.023058667,17.56833333,4.741072,4.741072,5.287896,90,90,116.687015,106.198276,4.85107313,17.69971267
MgZn3,Mg-Zn,221,Pm-3m,-5.004733,59.173,17.96,48.916,0.362,3.49,4,-0.058861,16.6125,3.966286,3.966286,3.966286,90,90,90,62.39534439,5.869059704,15.5988361
MgZn3,Mg-Zn,25,Pmm2,-4.943345,56.69,16.385,43.162,0.374,11.067,4,-0.043514,16.59,2.901596,4.675775,4.882362,90,90,90,66.24003073,5.528409293,16.56000768
